LAW_CODE,LAW_CAT_CD,Law_ID
PL 4701003,F,1226
PL 120051T,F,1227
VTL03750MU,M,1228
TAX18130FE,F,1229
VTL122000A,I,1230
PL 2204104,F,1231
PL 26510F2,F,1232
PL 1800000,M,1233
PL 130651A,F,1234
PL 2251504,M,1235
PL 26510FD,F,1236
ABC00000MA,M,1237
PL 155402H,F,1238
PL 1951501,M,1239
PL 1454500,F,1240
PL 2450100,V,1241
PL 26503ZT,F,1242
VTL030600E,M,1243
PL 12004D3,F,1244
PL 26510MA,M,1245
PL 2201807,F,1246
LOC00000FE,F,1247
VTL0319003,I,1248
PL 2056000,F,1249
PL 1562000,M,1250
VTL1182001,M,1251
PL 2303401,F,1252
VTL120300C,I,1253
RR 00000MU,M,1254
PL 2552500,F,1255
PL 125271E,F,1256
PL 121130X,F,1257
PL 1150000,M,1258
PL 1200300,F,1259
PL 2650022,M,1260
PL 140152H,F,1261
FOA9000001,,1262
VTL03750T4,I,1263
VTL119807B,M,1264
PL 2402004,V,1265
AM 00000MU,M,1266
PL 2000300,F,1267
PL 2603000,M,1268
PL 1252000,F,1269
PL 2603202,F,1270
PL 1452300,F,1271
PL 2403101,F,1272
VTL0375018,I,1273
COR0168DB1,F,1274
VTL11110D3,I,1275
VTL0370002,M,1276
PL 1950800,F,1277
PL 2700506,M,1278
PL 140173H,F,1279
PL 1356100,F,1280
PHL33830F2,F,1281
PL 160154H,F,1282
PL 2156600,M,1283
PL 1900502,M,1284
PL 12526A1,F,1285
RR 00000V0,V,1286
PL 155302H,F,1287
PL 1781502,F,1288
PL 240503B,M,1289
PL 1581000,F,1290
PL 190802F,F,1291
PL 12070FE,F,1292
TAX00000MA,M,1293
VTL120200A,I,1294
VTL0426000,F,1295
VTL114000B,I,1296
PL 1150800,F,1297
PL 1750502,M,1298
PL 2303001,F,1299
PL 2156004,M,1300
VTL1192U1B,M,1301
PL 2650600,V,1302
PL 1908500,M,1303
PL 2203408,F,1304
PL 2000401,F,1305
VTL031901P,I,1306
PL 240602T,F,1307
PL 1205504,F,1308
PL 12070FD,F,1309
PL 2258002,F,1310
CPL00000MA,M,1311
PL 2207000,M,1312
VTL05110E4,F,1313
COR0168EB1,F,1314
PL 1907904,F,1315
PL 125132B,F,1316
VTL112900A,I,1317
VTL031901U,I,1318
PL 230345E,F,1319
PL 4901500,F,1320
PL 14025BX,F,1321
PL 1753502,F,1322
PL 14500AH,F,1323
PL 1782500,F,1324
PL 155351H,F,1325
PL 2100500,M,1326
ABC0106006,M,1327
PL 145004H,F,1328
PL 2506001,F,1329
PL 1200100,F,1330
PL 2651400,F,1331
ABC0106000,M,1332
VTL118000A,I,1333
PL 19520A1,F,1334
PL 125271G,F,1335
VTL1192D1S,F,1336
PL 190651C,F,1337
PL 1908303,F,1338
PL 135200H,F,1339
PL 2602101,M,1340
PL 230345C,F,1341
VTL118100B,I,1342
PL 155305H,F,1343
PL 260061A,F,1344
PL 26510M4,M,1345
PL 120143H,F,1346
PL 120602X,F,1347
VTL11920V4,F,1348
LOC00000F0,F,1349
PL 2157500,M,1350
PL 24500BI,M,1351
PL 2651201,F,1352
SW 01470M0,M,1353
ABC0106012,M,1354
VTL1162000,I,1355
VTL0509010,I,1356
PL 1252505,F,1357
PL 2603204,F,1358
PL 1908900,F,1359
VTL03750MA,I,1360
PRL0000000,M,1361
PL 130951B,F,1362
PL 2153000,M,1363
PL 14025CX,F,1364
VTL123400A,I,1365
PL 14025AX,F,1366
PL 2203908,F,1367
PL 125252H,F,1368
PL 2303300,F,1369
PL 1304502,F,1370
PL 2303403,F,1371
PL 120055X,F,1372
AM 0355000,M,1373
PL 2200909,F,1374
GB 0352C06,F,1375
PL 230301X,F,1376
VTL11250A1,I,1377
PL 27002BF,F,1378
PL 12527KT,F,1379
PL 1302003,M,1380
TAX1814H32,F,1381
PL 155352H,F,1382
COR0168FFE,F,1383
ACA0250901,V,1384
PL 2302002,M,1385
ACA0251301,M,1386
PL 160152X,F,1387
ABC0096A00,M,1388
CPL00000MB,M,1389
GB 00000MU,M,1390
PL 2000402,F,1391
PL 2603200,F,1392
ACA0251302,M,1393
PL 1205004,M,1394
PL 120501H,F,1395
WC 0114001,F,1396
PL 230340A,F,1397
PL 1252004,F,1398
VTL119809A,M,1399
VTL119206D,F,1400
VTL119206E,F,1401
PRL00000I0,I,1402
VTL0381006,I,1403
TAX00000MU,M,1404
ACA0253000,V,1405
PL 1000500,M,1406
VTL1192E1B,F,1407
PL 2200915,F,1408
AM 00000MA,M,1409
JUD04860F0,F,1410
PL 2256002,F,1411
PL 26503BT,F,1412
PL 26503ST,F,1413
PL 12005BB,F,1414
VTL119202B,F,1415
ABC013001A,M,1416
PL 2400602,F,1417
PL 2206000,F,1418
PL 1908301,F,1419
PL 155307H,F,1420
ABC0054000,M,1421
VTL1192005,I,1422
RP 00000MA,M,1423
PL 130661B,F,1424
PL 2203904,F,1425
PL 140303X,F,1426
PL 4903000,F,1427
PL 1582000,F,1428
PL 1752000,M,1429
PL 240504A,M,1430
PL 1554300,F,1431
PL 2352102,F,1432
ABC0105014,M,1433
PL 140151H,F,1434
PL 145051H,F,1435
ACA0330904,M,1436
TAX1808000,F,1437
PL 2421000,M,1438
PL 2407001,M,1439
PL 1562504,F,1440
PL 2156001,M,1441
PL 120053B,F,1442
PL 2603500,M,1443
PL 12005JT,F,1444
PL 130451T,F,1445
VTL1192E4S,F,1446
PL 12005KH,F,1447
COR0168FFD,F,1448
GB 0352C05,F,1449
PL 15530EH,F,1450
PL 1050500,M,1451
PL 16515V4,V,1452
AM 0353C00,M,1453
LOC000000F,F,1454
VTL114000A,I,1455
PL 16010BX,F,1456
PL 14500BH,F,1457
PL 1872000,F,1458
PL 1950600,M,1459
PL 160151H,F,1460
PL 2204302,F,1461
PL 1584000,F,1462
PL 1356502,F,1463
VTL03750E1,I,1464
VTL1192D2S,F,1465
PL 160153H,F,1466
FOA9000030,,1467
PL 2451500,M,1468
PL 1205002,M,1469
VTL119809B,M,1470
PL 2602103,M,1471
VTL1192E3S,F,1472
AM 0360000,F,1473
PL 2151302,F,1474
PL 160102X,F,1475
PL 1252002,F,1476
PL 2650401,F,1477
VTL0511AFE,F,1478
PL 160152H,F,1479
FCA000000M,M,1480
PHL00000V0,V,1481
VTL0381002,I,1482
VTL1192U4S,M,1483
PL 160154T,F,1484
PL 130651H,F,1485
PL 240150C,F,1486
RP 00000MU,M,1487
PL 155401H,F,1488
PL 1654506,F,1489
PL 1907200,M,1490
PL 12005ET,F,1491
PL 2410203,M,1492
PL 1252201,F,1493
PL 12070D1,F,1494
PL 2410201,M,1495
PL 265042T,F,1496
PL 4000002,M,1497
PL 1356007,M,1498
CPL5700800,M,1499
PL 490150T,F,1500
PL 125271D,F,1501
LOC00000FB,F,1502
PL 1651511,M,1503
PHL2307000,M,1504
PL 12042CA,F,1505
BL 06500B1,F,1506
PL 12527DT,F,1507
PL 125271K,F,1508
PL 1452200,M,1509
PL 120058X,F,1510
PL 125272W,F,1511
ED 00000MA,M,1512
PL 1563500,F,1513
PL 2203404,F,1514
PL 2156003,M,1515
PL 1150002,M,1516
PL 130661C,F,1517
AC 019190C,V,1518
AM 00000FE,F,1519
PL 12070FC,F,1520
PL 2410200,M,1521
PL 14010DH,M,1522
PL 1356002,M,1523
PL 140150H,F,1524
PL 2303201,F,1525
ABC0108000,M,1526
PL 1353503,F,1527
PL 125151T,F,1528
PHL3310000,F,1529
